identifier,date,title,writer,people,place,organizations,references,addressee,images
83,1900-07-09,"83: July 9, 1900",B.P. Grenfell,"Smyly, Naville , Evans, Gradenwitz, Petrie, ""OBrien"", Mahaffy, Lord Amherst, Grenfell","Oxford, Rugby, Dublin","The Queen's College, Egypt Exploration Fund, Graeco-Roman Branch, The Wallace Company","Cleg Kelly, Arab of the City: His Progress and Adventures",Smyly,"MS4323-77_01.dzi, MS4323-77_02.dzi, MS4323-77_03.dzi, MS4323-77_04.dzi"
84,--05-02,84: May 2,B.P. Grenfell,"Smyly, Grenfell","Oxford, El Hiba",The Queen's College,,Smyly,"MS4323-84_01.dzi, MS4323-84_02.dzi"
85,1905-09-08,"85: September 8, 1905",B.P. Grenfell,"Smyly, Grenfell","Oxford, Merrion Square, Dublin, Ireland","London and North Western Railway, Trinity College Dublin",,Smyly,"MS4323-85_01.dzi, MS4323-85_02.dzi"
86,1906-06-24,"86: June 24, 1906",B.P. Grenfell,"Smyly, Grenfell","Airolo, Dublin, Ireland, Switzerland, Val Piora, Zinal, Evolène, Sierre, Sion","Trinity College Dublin, University of St Andrews",,Smyly,"MS4323-86_01.dzi, MS4323-86_02.dzi"
87,1905-10-01,"87: October 1, 1905",B.P. Grenfell,"Smyly, Eudoxus, Ptolemy V, Ptolemy VI, Grenfell",Oxford,The Queen's College,Hermathena,Smyly,"MS4323-87_01.dzi, MS4323-87_02.dzi"
88,1905-04-19,"88: April 19, 1905",B.P. Grenfell,"Smyly, Bernard, Mahaffy, Spiegelberg, Grenfell","Oxford, El Hiba, Oxyrhynchus, Dublin, Greece, Cairo",The Queen's College,The Flinders Petrie Papyri Part III,Smyly,"MS4323-88_01.dzi, MS4323-88_02.dzi, MS4323-88_03.dzi"
89,1905-01-09,"89: January 9, 1905",B.P. Grenfell,"Smyly, Kenyon, Lefebvre, Homer, Jouguet, Rubensohn, Mahaffy, Bernard, Hunt, Grenfell","Beni Mazar, Upper Egypt, Egypt, Hermopolis, Dublin",,"The Flinders Petrie Papyri Part III, The Hibeh Papyri Part I, The Tebtunis Papyri Part 2, Dictys Cretensis, Bellum Troianum, Entente Cordiale",Smyly,"MS4323-89_01.dzi, MS4323-89_02.dzi, MS4323-89_03.dzi"
90,1900-06-01,"90: June 1, 1900",B.P. Grenfell,"Smyly, Mahaffy, Wilcken, Petrie, Grenfell","Oxford, Ptolemais Hormou, El-Lahun, Gurob","The Queen's College, Bodleian Library",The Flinders Petrie Papyri Part II,Smyly,"MS4323-90_01.dzi, MS4323-90_02.dzi, MS4323-90_03.dzi"
91,1906-04-13,"91: April 13, 1906",B.P. Grenfell,"Smyly, Ptolemy IV, Ptolemy III, Reinach, Grenfell","Oxford, Magdala, Egypt",The Queen's College,"The Flinders Petrie Papyri Part III, Decree of Canopus , The Flinders Petrie Papyri, Magdalen papyrus, The Hibeh Papyri Part I",Smyly,"MS4323-91_01.dzi, MS4323-91_02.dzi, MS4323-91_03.dzi"
92,1905-05-05,"92: May 5, 1905",B.P. Grenfell,"Smyly, Bernard, Aristotle, Alexander the Great, Grenfell","Oxford, Tebtunis, Dublin",The Queen's College,"The Hibeh Papyri Part I, Rhetoric, The Flinders Petrie Papyri Part I, The Flinders Petrie Papyri Part II, The Flinders Petrie Papyri Part III",Smyly,"MS4323-92_01.dzi, MS4323-92_02.dzi, MS4323-92_03.dzi"
93,1898-10-12,"93: October 12, 1898",B.P. Grenfell,"Smyly, Bouriant, Ptolemy V, Alice Grenfell, Ptolemy VII, Ptolemy VI, Traill, Revillout, Wessely, Mitteis, Lord Amherst, Grenfell, Cleopatra II, Strack",Oxford,The Queen's College,"Damanhûr stele, Rosetta Stone, Strack-Die Dynastie der Ptolemäer , B. P. Grenfell-Review: Strack\s Dynasty of the Ptolemies , The Flinders Petrie Papyri Part II, The Oxyrhyncus Papyri Part II, The Amherst Papyri",Smyly,"MS4323-93_01.dzi, MS4323-93_02.dzi, MS4323-93_03.dzi, MS4323-93_04.dzi, MS4323-93_05.dzi"
94,--06-20,94: June 20,B.P. Grenfell,"Smyly, Hunt, Wilcken, Grenfell",Westland Row,The Queen's College,,Smyly,"MS4323-94_01.dzi, MS4323-94_02.dzi, MS4323-94_03.dzi"
95,1900-04-29,"95: April 29, 1900",B.P. Grenfell,"Smyly, Hunt, Mahaffy, Grenfell","Oxford, Romford, Dublin","The Queen's College, Egypt Exploration Fund",,Smyly,"MS4323-95_01.dzi, MS4323-95_02.dzi"
96,1900-06-04,"96: June 4, 1900",B.P. Grenfell,"Smyly, Hunt, Mahaffy, Schubart, Meyer, Grenfell","Oxford, Faiyum, Dublin, Chalkorychia","The Queen's College, Egypt Exploration Fund",,Smyly,"MS4323-96_01.dzi, MS4323-96_02.dzi"
97,1902-11-30,"97: November 30, 1902",B.P. Grenfell,"Smyly, Jouguet, Diophantus, Ptolemy III, Ptolemy II, Wilcken, Ricci, Revillout, Bernard, John Bagnell, Mrs. B., Mahaffy, Grenfell","Oxford, England, Gebelein, Faiyum, Wadi Halfa, El Hiba, Cairo",The Queen's College,"Aegyptische Urkunden aus den Königlichen (later Staatlichen) Museen zu Berlin, Griechische Urkunden, III Band. Berlin, The Flinders Petrie Papyri Part II, The Oxyrhyncus Papyri Part III, The Tebtunis Papyri Part I, Archiv für Papyrusforschung",Smyly,"MS4323-97_01.dzi, MS4323-97_02.dzi, MS4323-97_03.dzi"
98,1902-07-15,"98: July 15, 1902",B.P. Grenfell,"Smyly, Ptolemy VIII, Grenfell","Dublin, Ireland",Trinity College Dublin,"The Tebtunis Papyri Part I, Decrees of King Ptolemy VIII Euergetes II",Smyly,"MS4323-98_01.dzi, MS4323-98_02.dzi"
99,1900-05-18,"99: May 18, 1900",B.P. Grenfell,"Smyly, Grenfell","Oxford, Dublin, Ireland, Ptolemais Drymou, Themistou Meris, Ptolemais Nea, Krokodilopolis, Herakleidou Meris","The Queen's College, Trinity College Dublin","The Flinders Petrie Papyri Part II, Aegyptische Urkunden aus den Königlichen (later Staatlichen) Museen zu Berlin, Griechische Urkunden, II Band. Berlin",Smyly,"MS4323-99_01.dzi, MS4323-99_02.dzi"
100,1900-05-15,"100: May 15, 1900",B.P. Grenfell,"Smyly, Mahaffy, Grenfell","Dublin, Ireland, Talei, Ptolemais Hormou, Ptolemais Kaine, Labyrinth",Trinity College Dublin,The Flinders Petrie Papyri Part II,Smyly,"MS4323-100_01.dzi, MS4323-100_02.dzi"
101,1900-05-12,"101: May 12, 1900",B.P. Grenfell,"Smyly, Kenyon, Meyer, Wilcken, Grenfell","Dublin, Ireland, British Museum",Trinity College Dublin,"New Classical Fragments and Other Greek and Latin Papyri, ed. B.P. Grenfell and A.S. Hunt. Oxford 1897. Nos. 1—113, Das Heerwesen der Ptolemäer und Römer in Ägypten, The Oxyrhyncus Papyri Part II, Archiv für Papyrusforschung",Smyly,"MS4323-101_01.dzi, MS4323-101_02.dzi"
104,1908-10-07,"104: October 7, 1908",A.S. Hunt,"Smyly, Grenfell, Mahaffy, Ptolemy, Hunt","Oxford, Dublin",The Queen's College,,Smyly,"MS4323-104_01.dzi, MS4323-104_02.dzi"
106,1926-05-26,"106: May 26, 1926",A.S. Hunt,"Smyly, Grenfell, Hunt","Oxford, Gurob, Dublin",The Queen's College,"The Tebtunis Papyri, Volume 3",Smyly,"MS4323-106_01.dzi, MS4323-106_02.dzi, MS4323-106_03.dzi, MS4323-106_04.dzi"
